MONTH,DAY_OF_WEEK,ORIGIN,BusyFactor,LateFactor,Combined_BusyLateFactor,DEST,Delay15Min,DISTANCE,Hourofdeparture
7,2,MKE,3,3,4,ORD,0,67,1700 - 1900
8,4,MKE,3,3,4,ORD,0,67,1700 - 1900
8,7,MKE,3,3,4,ORD,0,67,1100 - 1300
8,7,MKE,3,3,4,ORD,0,67,0700 - 0900
9,7,MKE,3,3,4,ORD,0,67,0700 - 0900
9,2,MKE,3,3,4,ORD,1,67,1100 - 1300
10,4,MKE,3,3,4,ORD,0,67,0000 - 0700
10,2,MKE,3,3,4,ORD,0,67,1700 - 1900
11,6,MKE,3,3,4,ORD,0,67,0000 - 0700
12,5,MKE,3,3,4,ORD,1,67,1300 - 1500
12,6,MKE,3,3,4,ORD,0,67,1100 - 1300
6,5,BOS,5,5,10,MVY,0,70,1100 - 1300
9,4,BOS,5,5,10,MVY,1,70,1900 - 2000
1,1,DEN,5,5,10,COS,0,73,2000 - 2400
1,5,DEN,5,5,10,COS,1,73,1100 - 1300
1,1,DEN,5,5,10,COS,1,73,1700 - 1900
2,6,DEN,5,5,10,COS,0,73,2000 - 2400
2,4,DEN,5,5,10,COS,1,73,1100 - 1300
2,3,DEN,5,5,10,COS,0,73,1100 - 1300
3,2,DEN,5,5,10,COS,0,73,0900 - 1100
3,3,DEN,5,5,10,COS,0,73,1500 - 1700
3,5,DEN,5,5,10,COS,0,73,0900 - 1100
4,6,DEN,5,5,10,COS,1,73,2000 - 2400
4,1,DEN,5,5,10,COS,1,73,0900 - 1100
4,4,DEN,5,5,10,COS,1,73,0000 - 0700
4,4,DEN,5,5,10,COS,0,73,0900 - 1100
4,2,DEN,5,5,10,COS,0,73,2000 - 2400
4,7,DEN,5,5,10,COS,1,73,2000 - 2400
4,5,DEN,5,5,10,COS,0,73,2000 - 2400
5,1,DEN,5,5,10,COS,1,73,1900 - 2000
5,3,DEN,5,5,10,COS,0,73,1700 - 1900
5,3,DEN,5,5,10,COS,0,73,1500 - 1700
6,7,DEN,5,5,10,COS,1,73,0900 - 1100
6,2,DEN,5,5,10,COS,0,73,2000 - 2400
6,2,DEN,5,5,10,COS,0,73,1700 - 1900
6,1,DEN,5,5,10,COS,1,73,0900 - 1100
6,5,DEN,5,5,10,COS,1,73,2000 - 2400
6,6,DEN,5,5,10,COS,1,73,1500 - 1700
7,4,DEN,5,5,10,COS,1,73,1500 - 1700
7,7,DEN,5,5,10,COS,0,73,1700 - 1900
7,3,DEN,5,5,10,COS,1,73,1700 - 1900
7,2,DEN,5,5,10,COS,0,73,0700 - 0900
8,1,DEN,5,5,10,COS,1,73,1700 - 1900
8,6,DEN,5,5,10,COS,0,73,2000 - 2400
8,5,DEN,5,5,10,COS,0,73,1700 - 1900
8,1,DEN,5,5,10,COS,1,73,1100 - 1300
8,5,DEN,5,5,10,COS,1,73,2000 - 2400
8,6,DEN,5,5,10,COS,0,73,1900 - 2000
9,7,DEN,5,5,10,COS,0,73,2000 - 2400
9,6,DEN,5,5,10,COS,1,73,1900 - 2000
9,5,DEN,5,5,10,COS,0,73,0900 - 1100
9,2,DEN,5,5,10,COS,0,73,1700 - 1900
9,4,DEN,5,5,10,COS,0,73,1700 - 1900
10,4,DEN,5,5,10,COS,1,73,2000 - 2400
10,2,DEN,5,5,10,COS,0,73,1500 - 1700
10,4,DEN,5,5,10,COS,0,73,1700 - 1900
11,4,DEN,5,5,10,COS,0,73,2000 - 2400
12,2,DEN,5,5,10,COS,0,73,1300 - 1500
12,2,DEN,5,5,10,COS,1,73,2000 - 2400
1,3,IAH,5,4,8,CLL,0,74,2000 - 2400
1,5,IAH,5,4,8,CLL,1,74,2000 - 2400
2,7,IAH,5,4,8,CLL,0,74,2000 - 2400
4,3,IAH,5,4,8,CLL,0,74,1300 - 1500
5,3,IAH,5,4,8,CLL,0,74,2000 - 2400
5,7,IAH,5,4,8,CLL,0,74,2000 - 2400
6,3,IAH,5,4,8,CLL,0,74,2000 - 2400
8,2,IAH,5,4,8,CLL,0,74,0900 - 1100
10,3,IAH,5,4,8,CLL,1,74,2000 - 2400
11,7,IAH,5,4,8,CLL,0,74,2000 - 2400
12,4,IAH,5,4,8,CLL,0,74,1300 - 1500
1,1,CLT,5,4,8,GSP,0,75,1300 - 1500
1,3,CLT,5,4,8,GSP,0,75,1100 - 1300
1,2,CLT,5,4,8,GSP,0,75,0900 - 1100
1,2,CLT,5,4,8,GSP,0,75,1300 - 1500
2,4,CLT,5,4,8,GSP,0,75,2000 - 2400
2,2,CLT,5,4,8,GSP,1,75,2000 - 2400
2,1,CLT,5,4,8,GSP,0,75,1100 - 1300
2,2,CLT,5,4,8,GSP,0,75,1300 - 1500
2,3,CLT,5,4,8,GSP,0,75,1300 - 1500
3,2,CLT,5,4,8,GSP,0,75,1700 - 1900
3,7,CLT,5,4,8,GSP,0,75,2000 - 2400
3,3,CLT,5,4,8,GSP,0,75,2000 - 2400
4,1,CLT,5,4,8,GSP,0,75,0700 - 0900
4,2,CLT,5,4,8,GSP,0,75,1300 - 1500
5,3,CLT,5,4,8,GSP,0,75,0900 - 1100
5,4,CLT,5,4,8,GSP,0,75,0700 - 0900
5,1,CLT,5,4,8,GSP,0,75,2000 - 2400
5,2,CLT,5,4,8,GSP,0,75,2000 - 2400
6,4,CLT,5,4,8,GSP,0,75,1300 - 1500
6,7,CLT,5,4,8,GSP,0,75,0700 - 0900
7,6,CLT,5,4,8,GSP,0,75,1700 - 1900
7,2,CLT,5,4,8,GSP,0,75,0900 - 1100
7,7,CLT,5,4,8,GSP,1,75,0700 - 0900
7,2,CLT,5,4,8,GSP,0,75,1100 - 1300
7,7,CLT,5,4,8,GSP,0,75,1100 - 1300
7,6,CLT,5,4,8,GSP,1,75,2000 - 2400
8,3,CLT,5,4,8,GSP,0,75,0900 - 1100
8,1,CLT,5,4,8,GSP,0,75,1300 - 1500
8,7,CLT,5,4,8,GSP,0,75,2000 - 2400
8,4,CLT,5,4,8,GSP,0,75,2000 - 2400
9,2,CLT,5,4,8,GSP,0,75,1300 - 1500
9,4,CLT,5,4,8,GSP,0,75,1100 - 1300
9,6,CLT,5,4,8,GSP,0,75,2000 - 2400
9,1,CLT,5,4,8,GSP,0,75,1300 - 1500
10,7,CLT,5,4,8,GSP,1,75,1500 - 1700
10,6,CLT,5,4,8,GSP,0,75,2000 - 2400
10,3,CLT,5,4,8,GSP,1,75,2000 - 2400
10,2,CLT,5,4,8,GSP,0,75,1300 - 1500
10,2,CLT,5,4,8,GSP,0,75,1300 - 1500
11,1,CLT,5,4,8,GSP,0,75,0900 - 1100
11,4,CLT,5,4,8,GSP,1,75,1900 - 2000
11,1,CLT,5,4,8,GSP,0,75,1700 - 1900
11,7,CLT,5,4,8,GSP,0,75,1300 - 1500
11,1,CLT,5,4,8,GSP,0,75,1300 - 1500
11,1,CLT,5,4,8,GSP,1,75,0700 - 0900
11,6,CLT,5,4,8,GSP,0,75,2000 - 2400
11,3,CLT,5,4,8,GSP,0,75,1500 - 1700
11,5,CLT,5,4,8,GSP,0,75,1100 - 1300
12,7,CLT,5,4,8,GSP,0,75,2000 - 2400
12,7,CLT,5,4,8,GSP,0,75,2000 - 2400
1,3,GSP,1,1,1,CLT,0,75,0000 - 0700
1,7,GSP,1,1,1,CLT,0,75,0900 - 1100
1,7,GSP,1,1,1,CLT,0,75,0700 - 0900
2,6,GSP,1,1,1,CLT,0,75,2000 - 2400
2,1,GSP,1,1,1,CLT,0,75,1300 - 1500
2,2,GSP,1,1,1,CLT,0,75,0900 - 1100
3,7,GSP,1,1,1,CLT,0,75,1100 - 1300
3,2,GSP,1,1,1,CLT,0,75,2000 - 2400
3,3,GSP,1,1,1,CLT,0,75,2000 - 2400
3,2,GSP,1,1,1,CLT,0,75,0000 - 0700
4,6,GSP,1,1,1,CLT,0,75,1300 - 1500
4,5,GSP,1,1,1,CLT,0,75,1100 - 1300
5,5,GSP,1,1,1,CLT,1,75,2000 - 2400
5,3,GSP,1,1,1,CLT,0,75,1500 - 1700
5,7,GSP,1,1,1,CLT,0,75,1500 - 1700
5,2,GSP,1,1,1,CLT,0,75,1700 - 1900
5,4,GSP,1,1,1,CLT,0,75,1100 - 1300
5,4,GSP,1,1,1,CLT,1,75,1300 - 1500
5,4,GSP,1,1,1,CLT,0,75,1100 - 1300
6,5,GSP,1,1,1,CLT,0,75,0900 - 1100
6,7,GSP,1,1,1,CLT,0,75,0700 - 0900
6,7,GSP,1,1,1,CLT,0,75,1300 - 1500
6,4,GSP,1,1,1,CLT,0,75,1100 - 1300
6,3,GSP,1,1,1,CLT,0,75,0000 - 0700
7,1,GSP,1,1,1,CLT,0,75,0000 - 0700
7,2,GSP,1,1,1,CLT,1,75,1700 - 1900
7,1,GSP,1,1,1,CLT,0,75,2000 - 2400
8,6,GSP,1,1,1,CLT,0,75,0000 - 0700
8,2,GSP,1,1,1,CLT,0,75,1100 - 1300
9,5,GSP,1,1,1,CLT,0,75,1100 - 1300
9,7,GSP,1,1,1,CLT,0,75,1500 - 1700
10,3,GSP,1,1,1,CLT,1,75,0700 - 0900
10,6,GSP,1,1,1,CLT,0,75,1100 - 1300
10,7,GSP,1,1,1,CLT,0,75,2000 - 2400
11,6,GSP,1,1,1,CLT,0,75,1300 - 1500
11,4,GSP,1,1,1,CLT,0,75,0900 - 1100
11,1,GSP,1,1,1,CLT,1,75,1300 - 1500
12,7,GSP,1,1,1,CLT,0,75,2000 - 2400
12,7,GSP,1,1,1,CLT,1,75,1900 - 2000
12,7,GSP,1,1,1,CLT,0,75,0000 - 0700
12,1,GSP,1,1,1,CLT,0,75,0000 - 0700
12,1,GSP,1,1,1,CLT,0,75,0900 - 1100
12,3,GSP,1,1,1,CLT,0,75,0900 - 1100
1,1,MSP,5,2,4,RST,0,76,2000 - 2400
3,2,MSP,5,2,4,RST,0,76,1500 - 1700
4,7,MSP,5,2,4,RST,0,76,1300 - 1500
5,5,MSP,5,2,4,RST,0,76,2000 - 2400
6,5,MSP,5,2,4,RST,1,76,1100 - 1300
7,3,MSP,5,2,4,RST,0,76,2000 - 2400
8,3,MSP,5,2,4,RST,1,76,1500 - 1700
8,4,MSP,5,2,4,RST,0,76,1500 - 1700
10,2,MSP,5,2,4,RST,0,76,1100 - 1300
10,7,MSP,5,2,4,RST,0,76,2000 - 2400
11,3,MSP,5,2,4,RST,0,76,2000 - 2400
11,5,MSP,5,2,4,RST,0,76,1100 - 1300
1,7,CLT,5,4,8,GSO,1,83,1300 - 1500
1,2,CLT,5,4,8,GSO,0,83,2000 - 2400
1,4,CLT,5,4,8,GSO,0,83,1500 - 1700
1,4,CLT,5,4,8,GSO,0,83,0700 - 0900
2,4,CLT,5,4,8,GSO,1,83,0900 - 1100
2,2,CLT,5,4,8,GSO,0,83,1300 - 1500
3,6,CLT,5,4,8,GSO,0,83,1700 - 1900
4,4,CLT,5,4,8,GSO,1,83,2000 - 2400
4,3,CLT,5,4,8,GSO,0,83,1300 - 1500
5,6,CLT,5,4,8,GSO,1,83,1700 - 1900
5,3,CLT,5,4,8,GSO,0,83,0700 - 0900
5,1,CLT,5,4,8,GSO,0,83,0700 - 0900
6,5,CLT,5,4,8,GSO,0,83,1300 - 1500
6,3,CLT,5,4,8,GSO,0,83,2000 - 2400
6,2,CLT,5,4,8,GSO,0,83,2000 - 2400
7,7,CLT,5,4,8,GSO,0,83,0700 - 0900
7,5,CLT,5,4,8,GSO,1,83,1500 - 1700
7,4,CLT,5,4,8,GSO,0,83,1100 - 1300
7,7,CLT,5,4,8,GSO,0,83,1300 - 1500
7,3,CLT,5,4,8,GSO,1,83,1700 - 1900
8,6,CLT,5,4,8,GSO,1,83,1300 - 1500
8,2,CLT,5,4,8,GSO,0,83,1500 - 1700
8,4,CLT,5,4,8,GSO,0,83,2000 - 2400
8,7,CLT,5,4,8,GSO,0,83,1700 - 1900
8,6,CLT,5,4,8,GSO,0,83,2000 - 2400
9,6,CLT,5,4,8,GSO,0,83,1300 - 1500
9,2,CLT,5,4,8,GSO,0,83,1500 - 1700
9,1,CLT,5,4,8,GSO,1,83,1700 - 1900
9,3,CLT,5,4,8,GSO,0,83,0700 - 0900
10,4,CLT,5,4,8,GSO,1,83,1700 - 1900
11,5,CLT,5,4,8,GSO,0,83,1700 - 1900
11,6,CLT,5,4,8,GSO,0,83,1500 - 1700
11,4,CLT,5,4,8,GSO,0,83,0700 - 0900
11,1,CLT,5,4,8,GSO,0,83,1100 - 1300
11,3,CLT,5,4,8,GSO,0,83,0900 - 1100
11,6,CLT,5,4,8,GSO,0,83,0900 - 1100
11,2,CLT,5,4,8,GSO,0,83,2000 - 2400
12,6,CLT,5,4,8,GSO,0,83,1500 - 1700
12,4,CLT,5,4,8,GSO,0,83,1500 - 1700
12,1,CLT,5,4,8,GSO,0,83,1500 - 1700
12,6,CLT,5,4,8,GSO,0,83,1100 - 1300
1,4,ATL,5,3,6,CSG,0,83,0900 - 1100
1,5,ATL,5,3,6,CSG,0,83,1500 - 1700
2,6,ATL,5,3,6,CSG,0,83,1900 - 2000
3,3,ATL,5,3,6,CSG,1,83,2000 - 2400
5,7,ATL,5,3,6,CSG,0,83,1300 - 1500
5,1,ATL,5,3,6,CSG,0,83,1300 - 1500
6,2,ATL,5,3,6,CSG,0,83,2000 - 2400
8,4,ATL,5,3,6,CSG,1,83,1500 - 1700
8,6,ATL,5,3,6,CSG,0,83,0900 - 1100
8,2,ATL,5,3,6,CSG,0,83,0900 - 1100
9,4,ATL,5,3,6,CSG,1,83,1300 - 1500
9,3,ATL,5,3,6,CSG,0,83,2000 - 2400
9,6,ATL,5,3,6,CSG,0,83,0900 - 1100
10,7,ATL,5,3,6,CSG,1,83,1300 - 1500
10,5,ATL,5,3,6,CSG,0,83,2000 - 2400
11,2,ATL,5,3,6,CSG,0,83,1700 - 1900
11,4,ATL,5,3,6,CSG,0,83,1700 - 1900
1,6,GSO,1,4,2,CLT,1,83,0700 - 0900
1,2,GSO,1,4,2,CLT,0,83,1100 - 1300
1,4,GSO,1,4,2,CLT,0,83,1700 - 1900
2,5,GSO,1,4,2,CLT,0,83,1900 - 2000
2,5,GSO,1,4,2,CLT,0,83,0000 - 0700
2,3,GSO,1,4,2,CLT,1,83,1100 - 1300
3,7,GSO,1,4,2,CLT,0,83,1300 - 1500
3,2,GSO,1,4,2,CLT,1,83,1700 - 1900
3,6,GSO,1,4,2,CLT,0,83,0900 - 1100
4,5,GSO,1,4,2,CLT,0,83,1100 - 1300
4,4,GSO,1,4,2,CLT,0,83,1300 - 1500
4,6,GSO,1,4,2,CLT,0,83,0700 - 0900
5,1,GSO,1,4,2,CLT,0,83,0000 - 0700
5,7,GSO,1,4,2,CLT,1,83,1900 - 2000
5,4,GSO,1,4,2,CLT,0,83,1700 - 1900
5,2,GSO,1,4,2,CLT,1,83,1500 - 1700
5,3,GSO,1,4,2,CLT,0,83,1100 - 1300
5,3,GSO,1,4,2,CLT,0,83,0900 - 1100
6,6,GSO,1,4,2,CLT,0,83,0000 - 0700
6,2,GSO,1,4,2,CLT,0,83,0900 - 1100
6,6,GSO,1,4,2,CLT,0,83,0900 - 1100
6,7,GSO,1,4,2,CLT,0,83,0900 - 1100
6,6,GSO,1,4,2,CLT,0,83,1100 - 1300
7,5,GSO,1,4,2,CLT,0,83,0900 - 1100
7,6,GSO,1,4,2,CLT,0,83,1500 - 1700
7,3,GSO,1,4,2,CLT,0,83,1100 - 1300
8,5,GSO,1,4,2,CLT,1,83,1700 - 1900
8,6,GSO,1,4,2,CLT,0,83,1500 - 1700
8,4,GSO,1,4,2,CLT,0,83,0900 - 1100
8,2,GSO,1,4,2,CLT,0,83,0900 - 1100
9,6,GSO,1,4,2,CLT,0,83,0000 - 0700
9,6,GSO,1,4,2,CLT,0,83,0700 - 0900
10,2,GSO,1,4,2,CLT,0,83,1300 - 1500
10,3,GSO,1,4,2,CLT,1,83,1500 - 1700
10,4,GSO,1,4,2,CLT,0,83,1300 - 1500
10,7,GSO,1,4,2,CLT,0,83,1100 - 1300
10,7,GSO,1,4,2,CLT,0,83,0700 - 0900
11,6,GSO,1,4,2,CLT,0,83,2000 - 2400
11,6,GSO,1,4,2,CLT,0,83,1500 - 1700
11,4,GSO,1,4,2,CLT,0,83,0900 - 1100
11,2,GSO,1,4,2,CLT,0,83,1300 - 1500
11,3,GSO,1,4,2,CLT,1,83,1100 - 1300
12,6,GSO,1,4,2,CLT,0,83,1100 - 1300
12,4,GSO,1,4,2,CLT,0,83,1100 - 1300
12,3,GSO,1,4,2,CLT,0,83,1700 - 1900
12,1,GSO,1,4,2,CLT,1,83,1300 - 1500
2,3,OGG,3,1,2,KOA,1,84,1500 - 1700
2,4,OGG,3,1,2,KOA,0,84,1500 - 1700
3,7,OGG,3,1,2,KOA,0,84,1300 - 1500
4,2,OGG,3,1,2,KOA,0,84,1300 - 1500
9,3,OGG,3,1,2,KOA,0,84,1500 - 1700
10,4,OGG,3,1,2,KOA,0,84,1300 - 1500
10,4,OGG,3,1,2,KOA,0,84,1300 - 1500
11,3,OGG,3,1,2,KOA,0,84,1500 - 1700
12,6,OGG,3,1,2,KOA,0,84,1300 - 1500
3,4,KOA,2,1,1,OGG,0,84,0900 - 1100
3,4,KOA,2,1,1,OGG,0,84,1300 - 1500
4,6,KOA,2,1,1,OGG,0,84,0700 - 0900
4,7,KOA,2,1,1,OGG,0,84,1100 - 1300
4,5,KOA,2,1,1,OGG,0,84,1100 - 1300
5,3,KOA,2,1,1,OGG,0,84,1100 - 1300
6,6,KOA,2,1,1,OGG,0,84,0700 - 0900
6,5,KOA,2,1,1,OGG,0,84,0900 - 1100
6,1,KOA,2,1,1,OGG,0,84,1100 - 1300
7,3,KOA,2,1,1,OGG,0,84,1100 - 1300
8,5,KOA,2,1,1,OGG,0,84,0700 - 0900
8,6,KOA,2,1,1,OGG,0,84,1100 - 1300
10,3,KOA,2,1,1,OGG,0,84,0900 - 1100
10,4,KOA,2,1,1,OGG,0,84,1500 - 1700
11,7,KOA,2,1,1,OGG,0,84,1300 - 1500
12,4,KOA,2,1,1,OGG,0,84,1300 - 1500
1,5,SFO,5,5,10,SMF,0,86,0700 - 0900
1,5,SFO,5,5,10,SMF,0,86,0700 - 0900
2,5,SFO,5,5,10,SMF,1,86,2000 - 2400
3,6,SFO,5,5,10,SMF,1,86,2000 - 2400
4,6,SFO,5,5,10,SMF,0,86,2000 - 2400
4,3,SFO,5,5,10,SMF,0,86,0900 - 1100
5,7,SFO,5,5,10,SMF,0,86,0900 - 1100
6,7,SFO,5,5,10,SMF,1,86,2000 - 2400
6,2,SFO,5,5,10,SMF,1,86,1300 - 1500
6,1,SFO,5,5,10,SMF,0,86,2000 - 2400
6,2,SFO,5,5,10,SMF,1,86,1300 - 1500
6,3,SFO,5,5,10,SMF,0,86,2000 - 2400
7,6,SFO,5,5,10,SMF,0,86,0700 - 0900
7,7,SFO,5,5,10,SMF,0,86,2000 - 2400
8,1,SFO,5,5,10,SMF,0,86,1300 - 1500
8,5,SFO,5,5,10,SMF,0,86,1300 - 1500
8,6,SFO,5,5,10,SMF,0,86,0700 - 0900
8,3,SFO,5,5,10,SMF,1,86,1300 - 1500
9,5,SFO,5,5,10,SMF,0,86,1300 - 1500
9,1,SFO,5,5,10,SMF,0,86,1300 - 1500
10,4,SFO,5,5,10,SMF,1,86,1700 - 1900
10,4,SFO,5,5,10,SMF,0,86,1300 - 1500
10,4,SFO,5,5,10,SMF,0,86,1900 - 2000
11,4,SFO,5,5,10,SMF,0,86,0900 - 1100
11,6,SFO,5,5,10,SMF,0,86,1900 - 2000
11,1,SFO,5,5,10,SMF,0,86,2000 - 2400
12,7,SFO,5,5,10,SMF,1,86,0000 - 0700
12,3,SFO,5,5,10,SMF,0,86,1300 - 1500
12,1,SFO,5,5,10,SMF,0,86,1900 - 2000
12,7,SFO,5,5,10,SMF,1,86,1100 - 1300
1,4,SMF,3,2,3,SFO,0,86,2000 - 2400
1,3,SMF,3,2,3,SFO,0,86,2000 - 2400
2,7,SMF,3,2,3,SFO,0,86,2000 - 2400
3,3,SMF,3,2,3,SFO,0,86,1700 - 1900
3,4,SMF,3,2,3,SFO,0,86,1100 - 1300
3,5,SMF,3,2,3,SFO,0,86,2000 - 2400
4,7,SMF,3,2,3,SFO,0,86,2000 - 2400
5,3,SMF,3,2,3,SFO,0,86,1500 - 1700
5,4,SMF,3,2,3,SFO,0,86,1500 - 1700
6,7,SMF,3,2,3,SFO,0,86,2000 - 2400
6,5,SMF,3,2,3,SFO,0,86,0000 - 0700
7,7,SMF,3,2,3,SFO,1,86,1500 - 1700
9,1,SMF,3,2,3,SFO,0,86,0900 - 1100
10,3,SMF,3,2,3,SFO,0,86,0900 - 1100
10,6,SMF,3,2,3,SFO,0,86,0000 - 0700
11,3,SMF,3,2,3,SFO,0,86,1500 - 1700
11,3,SMF,3,2,3,SFO,0,86,0000 - 0700
11,3,SMF,3,2,3,SFO,0,86,1100 - 1300
11,7,SMF,3,2,3,SFO,0,86,0000 - 0700
12,3,SMF,3,2,3,SFO,1,86,1100 - 1300
12,2,SMF,3,2,3,SFO,0,86,2000 - 2400
12,2,SMF,3,2,3,SFO,0,86,1500 - 1700
1,2,CLT,5,4,8,CAE,0,88,1500 - 1700
2,1,CLT,5,4,8,CAE,0,88,2000 - 2400
2,3,CLT,5,4,8,CAE,0,88,0700 - 0900
3,7,CLT,5,4,8,CAE,1,88,1300 - 1500
3,1,CLT,5,4,8,CAE,1,88,1700 - 1900
3,5,CLT,5,4,8,CAE,1,88,2000 - 2400
3,4,CLT,5,4,8,CAE,0,88,1900 - 2000
4,4,CLT,5,4,8,CAE,0,88,0700 - 0900
4,7,CLT,5,4,8,CAE,0,88,1100 - 1300
4,2,CLT,5,4,8,CAE,0,88,1500 - 1700
5,2,CLT,5,4,8,CAE,0,88,1100 - 1300
5,4,CLT,5,4,8,CAE,0,88,2000 - 2400
5,1,CLT,5,4,8,CAE,1,88,2000 - 2400
5,6,CLT,5,4,8,CAE,0,88,2000 - 2400
6,5,CLT,5,4,8,CAE,0,88,1500 - 1700
6,6,CLT,5,4,8,CAE,0,88,2000 - 2400
7,4,CLT,5,4,8,CAE,1,88,2000 - 2400
7,1,CLT,5,4,8,CAE,0,88,2000 - 2400
7,5,CLT,5,4,8,CAE,0,88,1500 - 1700
8,7,CLT,5,4,8,CAE,1,88,2000 - 2400
9,1,CLT,5,4,8,CAE,0,88,2000 - 2400
9,2,CLT,5,4,8,CAE,0,88,1100 - 1300
9,3,CLT,5,4,8,CAE,0,88,1500 - 1700
10,7,CLT,5,4,8,CAE,0,88,2000 - 2400
11,6,CLT,5,4,8,CAE,0,88,1500 - 1700
12,1,CLT,5,4,8,CAE,0,88,1100 - 1300
12,5,CLT,5,4,8,CAE,0,88,1500 - 1700
12,3,CLT,5,4,8,CAE,0,88,1500 - 1700
2,3,DFW,5,5,10,ACT,0,89,0900 - 1100
2,6,DFW,5,5,10,ACT,0,89,1100 - 1300
3,4,DFW,5,5,10,ACT,0,89,1700 - 1900
3,7,DFW,5,5,10,ACT,0,89,0900 - 1100
3,4,DFW,5,5,10,ACT,0,89,2000 - 2400
3,5,DFW,5,5,10,ACT,0,89,2000 - 2400
4,5,DFW,5,5,10,ACT,1,89,1500 - 1700
4,1,DFW,5,5,10,ACT,0,89,1100 - 1300
4,4,DFW,5,5,10,ACT,0,89,0900 - 1100
4,4,DFW,5,5,10,ACT,0,89,0900 - 1100
6,6,DFW,5,5,10,ACT,0,89,2000 - 2400
7,3,DFW,5,5,10,ACT,1,89,1700 - 1900
9,7,DFW,5,5,10,ACT,0,89,1500 - 1700
9,1,DFW,5,5,10,ACT,0,89,2000 - 2400
10,4,DFW,5,5,10,ACT,1,89,0000 - 0700
11,2,DFW,5,5,10,ACT,0,89,1700 - 1900
12,5,DFW,5,5,10,ACT,0,89,1700 - 1900
12,1,DFW,5,5,10,ACT,1,89,1700 - 1900
1,3,LAX,5,3,6,SBA,0,89,0900 - 1100
1,3,LAX,5,3,6,SBA,0,89,1700 - 1900
1,2,LAX,5,3,6,SBA,0,89,1700 - 1900
2,5,LAX,5,3,6,SBA,1,89,1500 - 1700
3,1,LAX,5,3,6,SBA,1,89,1500 - 1700
3,7,LAX,5,3,6,SBA,0,89,0900 - 1100
3,4,LAX,5,3,6,SBA,1,89,1500 - 1700
4,2,LAX,5,3,6,SBA,0,89,1100 - 1300
6,2,LAX,5,3,6,SBA,0,89,1300 - 1500
8,7,LAX,5,3,6,SBA,0,89,2000 - 2400
8,5,LAX,5,3,6,SBA,0,89,0700 - 0900
9,1,LAX,5,3,6,SBA,0,89,0700 - 0900
9,6,LAX,5,3,6,SBA,0,89,2000 - 2400
9,5,LAX,5,3,6,SBA,0,89,2000 - 2400
11,1,LAX,5,3,6,SBA,0,89,2000 - 2400
11,4,LAX,5,3,6,SBA,0,89,0900 - 1100
11,6,LAX,5,3,6,SBA,0,89,2000 - 2400
11,2,LAX,5,3,6,SBA,0,89,1300 - 1500
12,3,LAX,5,3,6,SBA,0,89,1300 - 1500
12,3,LAX,5,3,6,SBA,1,89,2000 - 2400
9,1,BWI,4,4,7,PHL,0,90,0000 - 0700
9,5,PHL,5,3,6,BWI,0,90,1100 - 1300
10,5,PHL,5,3,6,BWI,0,90,1100 - 1300
10,5,PHL,5,3,6,BWI,0,90,1100 - 1300
7,7,BOS,5,5,10,ACK,1,91,1500 - 1700
7,5,BOS,5,5,10,ACK,0,91,1500 - 1700
7,7,BOS,5,5,10,ACK,0,91,1500 - 1700
7,1,BOS,5,5,10,ACK,1,91,1900 - 2000
